,0,1,2,3,4,5,6,7,8,9,10,11
446,ABCEFGH,HEBFEDB,CDEGGEA,HGFDBAB,ABCEFGH,ADGGFDB,AAEHFFF,BCGHFDA,HGFECBA,ABCEFGH,DGGGEAA,HDGGCBA
447,ABEGGGD,HGFDBBB,GEGDDCB,FEFGEDA,BACEGGG,FECABFH,CEHHEBA,HFADDDD,HGGDBAB,ADGDDEH,FFCACEH,ACCCFHH
448,CGGGDAD,GGGDEBA,CBACGHH,EHHFCAA,HGFCCBA,HGDBBBF,ABCEHGF,HGFDCBA,HGEBBBC,BBBDFGH,GFBBAFH,BBDBCGH
449,ABDFGGG,EFHGCBA,GGFFDBA,HGFDBBB,ABCEFGH,DGGGEAA,GGHDBBA,ABEGGFC,HGFECBA,ABCEFGH,ACDFFFG,EFGGECA
450,ABDFGGG,HGFDCBA,HGFCBBB,ABCDFGH,ABEFGGG,HGFECBA,EEHFABE,ABDEGGG,GGGFDBA,HGECBBB,ABCEFGH,ABCEFGH
451,HGFECAA,BACEEGH,BBBDEGH,GFFFFCA,HGFDBAB,ABCEFGH,GHGECBA,HGECBAF,ABDEFGH,DGHFBAD,FGFEFDA,CHGFBDB
452,HGFDABC,HGCDDDA,GGDCAED,BDBGCEH,ABCDFGH,CDEFHDA,HGDCBCC,ABCFFGF,GGGECBA,HHFCCBA,DDACDGH,BBCFHGC
453,ABEGGGD,HGFDCBA,ACEEEEH,ABDDGHG,ACFGHEB,HBEFECB,GGGECBA,BBBEHGF,ABCDEGH,FGEAADG,GDABEGG,CABDFHH
454,BAEFHDG,HFBADFD,EGHFDBA,ABBDFHH,BBCCEHH,HGFDABB,BDGHFCA,BACFGGG,HFEECAE,DBACGHG,HEAACFG,EGEABEG
455,EGFDCBE,HGFDBBB,HHDBCBC,ABBDFHH,ABDEGGG,CCCFHGA,HHDBBBE,ABEGFFG,FGEGDDA,HGFFDAA,BCBEGHB,BBDEEGG
456,ABDFGGG,HGFECBA,HGFDBBA,ABBDFGH,ABEFGGG,HGFECBA,DDGGABF,ABDFGGG,GGGFDBA,HGECBBB,ABCDFGH,ABCEFGH
457,GGGECAA,EEACDEH,GGACFDE,BBCDEHH,ABCEFGH,BBCCEGH,HGECBBB,AAEFEGG,HGFDBCA,HGFDCAA,FHFDCBB,DFGCBFD
458,AADEFGH,BACEEGH,BEFGGDA,HGFDCAA,ABCEFGH,ACFGGED,ACGHECC,CFGGFCA,HGFECBA,ABCEFGH,BDHGFCB,FGEGDCA
459,DACBGHF,ABDEFHG,GEGGBAD,GHFDDBA,HGEBACD,ABCEFGH,BEHHEBA,HGFECBA,CBBCFHH,ABEDEHH,CACGGDF,GHGECAA
460,FECABFH,GCEGBAE,ECBADHH,HGECACD,ACFHGDC,GHFBACE,HFBBCED,AACFGGG,HGFDBAB,ABDFGGE,ACFHGEB,CEGHFCA
461,HGEBCCB,AACEFGH,HFDCFCA,ACGHGDB,HGCBDFA,HFBACEG,BDGHFCA,ECBADGH,BABEEGH,HHECABD,ECEHGCA,DBBCEHH
462,GGGEBAB,ACCFHGE,FGGGBBB,GGFFEBA,DBACEGH,ABCEFGH,GHGDCBA,HGFEDBA,BABDFGH,HHFCBBB,HGDBBCC,EGGGDBA
463,GFBADHD,CGGDACF,CAAFHGF,AAFGGFE,CFHGEBA,GHGEBAB,HHFCBAC,BEFGGDA,AACEGHG,HGECBBC,ABDFHGD,AACFGHF
464,HHFCBBB,EHEBGBC,HGDBBCD,AADEGGG,EGGGDBA,HGFECBA,ABBDFHH,HGFDCBA,CBBDFGH,BCBCCGH,HHDBBCE,HGFCDCA
465,HFCCBBG,EBACFGH,EHGDBBB,ABGHFDC,GEFGCAB,ABCEGHG,HGFDCBA,BABDFGH,BABEGGH,HHEBABD,CACDHHD,HGFCABC
466,AABEGGH,AFDEHDE,GEHFDBA,GGGFCBA,DBACFGH,ABDEFGH,BEHHEBA,HGFEDBA,HGDAADE,ABCEFHG,ABEGEFG,FGFGEAA
467,ABCDEHH,HGGECAA,FGFFEAA,HDGCBBE,ABCEFGH,ABBDFHG,HGDBBCC,BACFFHF,HGECACE,GEEEFEA,EAEEGCG,ABCEGHD
468,GGGEDAA,HGFCDAB,AFEDEDG,BBEECDH,ABBEFGH,GFDBBGC,ACCCEGH,AADFGFG,HHFDBBB,HGFECBA,FGGCBCC,ABBFGGG
469,FGGFDAA,HHEDBAC,FGDEFDA,ABDDFGH,ABCEFGH,GGGDABD,FGHECBA,ADGGFED,HGFEDBA,HGGBBCB,ACDFEFH,ABCDFGH
