,0,1,2,3,4
339,ABCCD,DDCAA,ABDDB,DAABD,BCDCA
340,AABDD,CDCBA,ABDDB,BABCD,CDDAA
341,DCBAB,AACDD,DDBBA,ABDDA,BABCD
342,AACDD,DDCBA,ABCDC,BABDD,CCDBA
343,ABDDC,DDCAA,AABDD,DBABD,BCCDA
344,DCBAA,DDCAA,BDDBA,AACDD,BABCD
345,CDCAB,DCBAC,CBACD,CDDAA,ACACD
346,CDDBA,AABDD,DBAAD,DDCAA,AACDD
347,DCDBA,AABDD,BCABD,DDCBA,AABDD
348,CCCAB,BABDD,CDCAA,CBBDA,ABBDC
349,CDCBA,DADBC,BBABD,DDCAA,AACCD
350,ABCDC,DDBAA,CDDBA,AABDD,CBCCA
351,DBBBB,AACDD,DBADB,ABDDC,CBAAD
352,DBBAA,AABDD,DDBBA,DCBBA,ABCDC
353,CDCBA,AABDD,DDAAB,CCCDA,ACACD
354,DBBBA,AABDD,CDBAB,DDCBA,BABCD
355,DBCCA,ACDDA,AACDD,CABDD,BACDD
356,DBBAB,DDCAA,DDBAB,ADDAC,ABBCD
357,ABADD,DDCAA,CDDBA,ABCDC,DDBAA
358,ABCDD,DCBAB,ABCDC,DBABD,CCDCA
359,BDCAC,ABCDD,DDBAB,BDACC,BCACC
360,DCBAB,AACDD,DDBBA,DDAAB,AACDD
361,CABCD,BBBBD,BBADC,DCCAA,DCBAC
362,CADBA,DCBBA,CBBBD,DDAAC,CCADA
363,DDBAA,ADDCA,AACDC,DAACD,BAACD
364,DCBAB,AACDD,DDBBA,CCDBA,DBAAD
365,CCDBA,AABDD,DDBAA,DDCAA,AACDC
366,ABCCD,BDDAB,ABDDB,CDAAD,ADBDA
367,DCCCA,AACCD,DDBAB,DDBAA,BACDC
368,ABADD,CDCBA,BDDBA,ABCDD,CDDAA
369,DABBC,DDCAA,ABDDB,BABCD,DAABD
370,CDCBA,DBABD,ACDCA,ACDBA,BABDD
371,DAACC,CDCCA,ABDDB,ABCDD,DCBAC
372,DBABC,AABDD,CBADC,DCBAA,CDCAB
373,DBBAB,AABDD,DCACA,DDCAA,DCBAC
374,CDDBA,AABDD,DCAAC,DDCAA,AACDD
375,BDCAC,ACCBD,BCACD,CCCCA,BCCDA
376,BABDD,DDCAA,BDDBA,ABCDD,DCBAB
377,BDCBB,BABCD,DACCA,CBABD,ACCDC
378,DDCAA,BABCD,CBDCA,DDBAA,AABCD
379,AACDD,CAACD,ACBBD,DDCAA,CBCCA
380,CDCAA,DCABD,DCCAC,DCAAD,DAABD
381,ADCAB,DCAAC,AAADD,DDBAB,BABDD
382,ABDDC,DDCAA,ABCDC,CAACD,CDDCA
383,AABDD,DCCAA,BDDBA,AACDD,CDDAA
384,BCDCA,BAACD,CDAAC,DDCBA,AACDD
385,CCDCA,AABDD,CDAAC,DDBAA,AABDD
386,ABCDC,DDCBA,ABDDB,AABCD,DDCBA
387,DDBAA,AABDD,DBADC,DDCAA,AABDD
388,ABCCD,DDAAB,ABDDC,DBABD,BCDDA
389,CDBAB,CDBAB,ABDDC,DBACD,AACCD
390,DBABC,BCDCA,BBDCA,ABCDD,DCBAC
391,CDDBA,AABDD,BCABD,DDCAA,AACDD
392,BCBAC,AACDC,DCBAB,ABDCD,ACCBC
393,BDDBA,AABDD,DBABD,DDCAA,AACDD
394,DBACB,DDCAA,BDDBA,ACDDB,CABCC
395,DCCAA,AACDD,DCABC,DDCBA,AABCD
396,DAACD,CCDBA,CAADD,ABCDD,DCAAC
397,DDCAA,DCAAC,ACDBA,ABDCB,BAACD
398,BBDBA,DCAAC,AACDC,CDAAD,DABDA
399,AADBD,DACCA,ABBDD,DCBAC,CBDAB
400,CDCAB,ABDBB,DCAAC,BDCAB,ACACD
401,ABCDD,DDBAB,BDDBA,BAADD,CCCCA
402,DDCAA,AABDD,DDAAB,CDCBA,AABDD
403,DABBC,BBACD,BCCAD,DDCAA,ABCCD
404,CADBB,CADBC,CAADC,BDBDA,CADAC
405,ABBDB,ACCBD,CDDAA,BCDAC,DCADA
406,DDCAB,ABCDD,DCBAC,CCCCA,BABCD
407,CAACD,CDDBA,BACDB,ABCDD,DDCAA
408,BCBCC,ACCBD,CCDBA,CBBDA,BDACB
409,ADDDA,DCABB,ABDDB,DBBDA,BCCCA
410,DDCAA,AACDD,BAADD,DDBAA,ACDBB
411,DBBAB,BDDCA,BDCAB,BDCBA,AACBD
412,CDDBA,AABDD,DCAAC,DDCAA,AACDD
413,BCDCA,BCADC,CCBCB,CBDAB,BCBCC
414,BDDBA,AABDD,DBAAD,DDCAA,AACDD
415,DABCC,ABDDC,CAACD,DAACC,CCCBA
416,BADDC,CDDBA,ACDCA,AACDD,BBDAC
417,BDDBA,DDAAB,ABDDB,CCDBA,BAACD
418,DDBAB,CDBAC,ACDCA,DAADB,BAACD
419,BDBDA,CCCBC,BBADD,DDCAA,BABDD
420,DDCBA,DCABD,BDDAA,ABDCC,BABDD
421,AABCD,DDBAA,AABDD,DCAAC,DDCAA
422,CDCBA,ABCDD,DDBAB,CDAAC,BACCD
423,CDCAA,DCBAB,ABDCB,CDBCA,BAACD
424,ABCDC,DDCAA,AABCD,DDCAA,ACDDA
425,ACCCB,CADAC,CAACD,CBDAB,CBDAD
426,BCDAC,CABDB,ABDDB,BBADB,ACDBB
427,BABDD,DDCAA,CDDBA,AACDD,DDCAA
428,CCDBA,AABDD,DDBAA,CCCCA,BAADD
429,ABCDD,AACDD,DCBAA,ABCDD,CDDBA
430,AACDD,DDCAA,ABDDB,CAADD,CDDBA
431,ABCBD,DCAAD,BCDBA,CAACD,DBABC
432,CDCAA,CCACD,BBDCA,AADDC,BAADD
433,BBACD,CBDCA,CACDA,ABCDC,CDCAA
434,BDADA,DABCB,CAADC,BDBDA,BCACD
435,ABDCC,DCAAC,AACDD,DDAAB,BCDDA
436,CDCBA,DBABD,BACDC,CDCBA,BDACC
437,AABDD,CDCBA,BDDBA,ABCDD,DDDAA
438,DBBBB,ABBDD,CCBCA,DCAAB,DCBBA
439,DDBAC,DDAAC,BCDBA,DCABD,DAACD
440,CDDBA,AABDD,DCAAC,DDCAA,AACDD
441,DBBAB,AACCD,DCBBA,DCABB,CCCBB
442,DBBBB,DCABC,BDBAC,DDCAA,ABBBD
443,DDCBA,AACDD,CCABD,DDCBA,AABCD
444,DCCAA,AACDD,BBADD,DDCAA,ABCCD
445,BDADA,CACCC,DCBAB,BCCAC,ADBDA
446,ACCCD,DCABC,AABDD,DCAAC,DDCBA
447,DDCAA,BCBAD,BBDCA,CCACD,AABDD
448,DDCBA,DDCBA,AABDC,DBAAD,AACCD
449,ACDCC,DBABD,DDDAA,DCAAC,CCDCA
450,CDDBA,AABDD,DCAAC,DDCAA,AACDD
451,DAABC,CDCBA,BCDBA,ABCDD,DCAAC
452,DADCA,AABCD,DDBAA,DDCAA,AACDD
453,DDCAA,ABCCD,DDCAA,AACDC,ABADD
454,CDBBB,AACDD,DACCA,DBAAD,AACCD
455,DDCAA,AABDD,DDBAB,DDCBA,ABBCD
456,BDDBA,AABDD,DCAAC,DDCAA,AACDD
457,DBBBB,AABCD,CDCAB,DDCBA,CBAAD
458,ABCDD,DCAAC,ABCCC,DCAAC,DCCBA
459,AABDD,CDCBA,ABDDB,BABCD,CDDAA
460,CCCBA,BBADD,DCBAB,CBABD,CCDCA
461,BAADD,BDDBA,BBDDA,ABCDC,DDABA
462,BACDD,DDCAB,BDDBA,AACDD,CBDCA
